40  40  k_cn  k_msh  
13		Alfa Points
2.0		Alfa Step
 22	 1.7766e-002	-4.9125e-003	-3.0548e-002	-4.9125e-003	-1.5274e-002	 7.5057e-001	-4.3539e-001	-1.0537e-001	 1.5267e+000	-1.1531e-001	-1.1939e+000	 3.9882e+000	-8.4824e-002	 1.1386e+000	-3.4078e-008	 6.0110e-008	-5.8652e-001	 2.7936e+000	 4.3203e-008	-8.8562e-008	 3.4561e-002	-9.8848e-001	-8.6342e-009	 3.3730e-008	 1.8029e-001	-4.0465e-001	-2.4571e-010	-2.6395e-009	 3.0450e-010	-4.0873e-009	-9.3561e+000	 1.8215e+001	 4.2109e-009	-2.0057e-008	 6.0860e+000	-1.1600e+001	-3.7220e-010	 1.0645e-008	-7.5610e-001	 3.6222e+000
 24	 2.3538e-003	-2.3577e-002	-6.1373e-002	-2.3578e-002	-3.0686e-002	 8.1628e-001	-4.4415e-001	-7.7870e-002	 1.1423e+000	 8.1028e-001	-1.1939e+000	 3.9882e+000	 1.0102e-001	 5.4713e-001	-5.1791e-008	 1.0852e-007	-9.5240e-002	 1.2066e+000	 4.7119e-008	-9.6140e-008	-1.2792e-001	-6.6958e-001	 1.1117e-008	-2.3074e-008	-1.0958e-002	 7.0088e-002	-3.2221e-009	 5.3492e-009	-3.6265e-010	-1.9641e-009	-1.2632e+001	 2.7249e+001	 6.8378e-010	-8.6629e-009	 7.4604e+000	-1.4881e+001	 1.3777e-009	 7.2109e-009	 1.6306e+000	-3.1360e+000
cn	M=0.90 01         	 02         	 03         	 04         	 05         	 06         	 07         	 08         	 09         	 10         	 11         	 12         	 13         	 14         	 15         	 16         	 17         	 18         	 19         	 20         	 21         	 22         	 23         	 24         	 25         	 26         	 27         	 28         	 29         	 30         	 31         	 32         	 33         	 34         	 35         	 36         	 37         	 38         	 39         	 40         	
  0	 3.5570e-002	-3.4694e-018	-4.2974e-018	 0.0000e+000	 1.7347e-018	-2.6021e-018	 5.2042e-018	 0.0000e+000	 1.1402e+000	 2.0895e+000	-1.1223e+000	 3.9193e+000	 1.6653e-016	 1.8874e-015	-2.7756e-015	 7.5495e-015	-1.6765e-016	 1.3001e-016	-1.3632e-015	 9.0938e-016	-5.8287e-016	-1.3323e-015	 5.5511e-017	 4.4409e-016	-9.7145e-017	 1.6653e-015	-1.7764e-015	 3.9968e-015	 1.9429e-016	-4.4409e-016	-1.1102e-016	 2.6645e-015	 8.3267e-017	-6.6613e-016	 2.2204e-016	 1.7764e-015	-1.1102e-016	 1.1102e-015	 6.1062e-016	 4.4409e-016
  2	 3.5550e-002	-7.2500e-004	-4.0000e-005	-7.2500e-004	-2.0000e-005	 3.1088e-002	-4.9250e-003	-1.6516e-003	 1.1602e+000	 2.0193e+000	-1.1223e+000	 3.9193e+000	-6.9299e-002	-5.3718e-002	 2.7180e-009	-6.2035e-009	-5.8871e-003	 1.0086e-001	-2.4791e-009	 5.4346e-009	 7.3336e-003	 3.6812e-002	 9.8097e-010	-1.7488e-009	 2.2918e-004	-2.8725e-004	-6.0994e-010	 1.2588e-009	 2.4877e-010	 1.9284e-010	 1.0970e+000	-2.4294e+000	 4.2267e-011	-7.2416e-010	-1.7538e-001	 4.0628e-001	-7.8979e-011	-3.9644e-010	 2.0436e-001	-3.9617e-001
  4	 3.5417e-002	-1.2750e-003	-3.0500e-004	-1.2750e-003	-1.5250e-004	 7.8707e-002	-2.0595e-002	-5.4433e-003	 1.2296e+000	 1.7373e+000	-1.1223e+000	 3.9193e+000	-1.1737e-001	-6.0521e-003	 5.1482e-009	-1.3565e-008	-6.7086e-002	 4.7613e-001	-4.8989e-009	 1.1273e-008	 3.1931e-002	 2.8129e-002	 1.3562e-009	-5.4728e-010	 8.2506e-003	 3.6932e-004	-8.0277e-010	 1.4195e-009	 4.2135e-010	 2.1725e-011	 1.8814e+000	-4.5695e+000	 4.8165e-010	-3.4184e-009	-4.5871e-001	 1.1747e+000	-3.4388e-010	-3.0293e-010	 2.7502e-001	-3.1443e-001
  6	 3.6054e-002	-1.0225e-003	 9.6750e-004	-1.0225e-003	 4.8375e-004	 1.3666e-001	-4.9985e-002	-1.1903e-002	 1.3191e+000	 1.4933e+000	-1.1223e+000	 3.9193e+000	-1.5704e-001	 1.7508e-001	 5.9063e-009	-1.6236e-008	-1.3695e-001	 8.1085e-001	-6.8971e-009	 1.6863e-008	 8.3964e-002	-1.3487e-001	 2.8117e-009	-3.4122e-009	 2.0021e-002	-1.6394e-002	-9.1050e-010	 1.3929e-009	 5.6376e-010	-6.2851e-010	 2.1526e+000	-5.2989e+000	 9.8325e-010	-5.8216e-009	-7.0701e-001	 1.9607e+000	-9.0424e-010	 1.4524e-009	 4.3018e-001	-5.7551e-001
  8	 3.5828e-002	-1.7100e-003	 5.1500e-004	-1.7100e-003	 2.5750e-004	 2.1019e-001	-9.1755e-002	-3.0574e-002	 1.4798e+000	 1.0990e+000	-1.1223e+000	 3.9193e+000	-2.2661e-001	 5.5951e-001	 4.7157e-009	-1.3552e-008	-2.8620e-001	 1.2581e+000	-6.3676e-009	 1.7047e-008	 1.6885e-001	-4.5733e-001	 3.5282e-009	-6.3095e-009	 4.1744e-002	-1.5203e-002	-9.3812e-010	 1.4074e-009	 8.1350e-010	-2.0085e-009	 1.8363e+000	-4.5592e+000	 2.0548e-009	-9.0326e-009	-6.2558e-001	 1.9822e+000	-1.8184e-009	 4.9252e-009	 5.0183e-001	-8.4725e-001
 10	 3.5049e-002	-4.3525e-003	-1.0425e-003	-4.3525e-003	-5.2125e-004	 2.8621e-001	-1.4944e-001	-5.6657e-002	 1.6944e+000	 5.2431e-001	-1.1223e+000	 3.9193e+000	-3.6477e-001	 1.1407e+000	 1.7411e-009	-8.0683e-009	-5.0339e-001	 2.0462e+000	-5.5747e-009	 1.5836e-008	 2.9748e-001	-8.2919e-001	 5.8269e-009	-1.0510e-008	 5.3106e-002	-5.2771e-002	-9.9663e-010	 1.3714e-009	 1.3095e-009	-4.0950e-009	 1.0403e+000	-3.0116e+000	 3.6142e-009	-1.4691e-008	-4.9884e-001	 1.8237e+000	-3.2037e-009	 8.9298e-009	 7.2615e-001	-1.2306e+000
 12	 3.5815e-002	-1.1000e-003	 4.9000e-004	-1.1000e-003	 2.4500e-004	 3.5974e-001	-2.1647e-001	-7.8738e-002	 1.9742e+000	-5.3721e-001	-1.1223e+000	 3.9193e+000	-5.5730e-001	 1.9802e+000	-1.3041e-010	-8.8290e-009	-6.4338e-001	 2.6236e+000	-6.9861e-009	 2.9064e-008	 5.4430e-001	-1.8366e+000	 8.4121e-009	-2.1657e-008	 9.2998e-003	 1.9239e-001	-6.4779e-010	 7.1125e-010	 2.0006e-009	-7.1085e-009	 3.2458e-001	-2.8557e+000	 4.6192e-009	-1.8836e-008	-7.9259e-001	 3.8500e+000	-5.8618e-009	 1.9779e-008	 9.0141e-001	-2.1431e+000
